"fixture","class","subclass","idA","idB","idC","row","value","limit","relation","note"
"Track C","b","outside-mate-span","__union_3","W","Y",1,1.00000000000006,1.00000000000022,"genuine","anchor founder: TRUE"
"Track C","d","adjacent","__dup_Y_1","Y","__union_4",1,120,120,"self-duplicate",NA
"Real 375","b","off-centre","__union_19","3XP1ZD","9A1LWF",0,-0.50000000105177,1.99999999788794,"B1","anchor founder: TRUE"
"Real 375","b","off-centre","__union_22","8ZK9LV","PQX22G",0,0.500000000001773,1.99999999999615,"B1","anchor founder: TRUE"
"Real 375","b","outside-mate-span","__union_29","8DKELJ","C6E1D9",0,-1.00000000226625,1.00000000453241,"B1","anchor founder: TRUE"
"Real 375","b","outside-mate-span","__union_36","RKBTHH","__dup_WDBGPF_2",0,-1.00000000002489,0.999999999998401,"B1","anchor founder: TRUE"
"Real 375","b","off-centre","__union_44","RJHF0G","Y7IUMX",0,-0.500000000002971,2.0000000000092,"B1","anchor founder: TRUE"
"Real 375","b","off-centre","__union_48","7U5H8G","__dup_6S4HCB_1",0,0.49999999999906,1.99999999998957,"genuine","anchor founder: TRUE"
"Real 375","b","off-centre","__union_59","AU22BC","FD3BB6",1,0.499999999999978,2.00000000000004,"B1","anchor founder: FALSE"
"Real 375","b","outside-mate-span","__union_63","P4KR40","HKTQ40",1,1.500000000003,2.00000000000342,"B1","anchor founder: FALSE"
"Real 375","b","outside-mate-span","__union_65","8LKBV9","__dup_G8EBU9_1",1,-0.999999999786223,0.9999999995905,"genuine","anchor founder: FALSE"
"Real 375","b","outside-mate-span","__union_66","5JGJDV","M0YNUR",1,3.49999999884749,5.99999999999175,"genuine","anchor founder: FALSE"
"Real 375","b","off-centre","__union_68","8LKBV9","8P17E3",1,0.500000000004396,2.00000000000509,"B1","anchor founder: FALSE"
"Real 375","b","outside-mate-span","__union_71","RYP77M","WDUGSA",1,-0.999999999991064,1.0000000000056,"B1","anchor founder: FALSE"
"Real 375","b","outside-mate-span","__union_72","KUENM8","__dup_E2D59U_1",1,-0.999999999991155,1.00000000002146,"genuine","anchor founder: FALSE"
