"fixture","class","subclass","idA","idB","idC","row","value","limit","relation","note"
"Track C","d","adjacent","__dup_Y_2","Y","__union_4",1,120,120,"self-duplicate",NA
"Real 375","b","off-centre","__union_97","KUENM8","__dup_P87V3K_1",1,0.499999999999864,1.99999999997173,"genuine","anchor founder: FALSE"
"Real 375","b","off-centre","__union_114","WCPXHD","7KWRZK",2,0.500000000026034,2.00000000004909,"B1","anchor founder: FALSE"
"Real 375","b","off-centre","__union_130","WCPXHD","SQ908D",2,1.0000000000176,3.00000000005261,"B1","anchor founder: FALSE"
"Real 375","b","off-centre","__union_137","WCPXHD","__dup_MK90CB_1",2,1.50000000001845,4.00000000003712,"genuine","anchor founder: FALSE"
"Real 375","b","off-centre","__union_191","HV7LZ3","B2U6J7",4,0.999999999999924,2.99999999998495,"B1","anchor founder: FALSE"
"Real 375","b","off-centre","__union_228","LVK7AI","__dup_8NQX52_1",6,0.499999999999955,2.00000000000001,"genuine","anchor founder: FALSE"
"Real 375","c","c-arc-inside","__dup_7U5NJD_1","7U5NJD","__dup_CMJQGU_1",1,24.7661192919393,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","YPHFHF","__dup_YPHFHF_1","0GDSV0",1,2.04437092769766,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","NPYENA","__dup_NPYENA_1","8LKBV9",1,1.92939103239696,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","__dup_9C6NW8_1","9C6NW8","__dup_MY1AEU_2",0,20.303871186518,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_9C6NW8_1","9C6NW8","__union_82",1,0.330806947326321,6,NA,"duplicate-individual-union"
"Real 375","c","c-arc-inside","0ZISJ0","__dup_0ZISJ0_1","LVP52A",0,4.87877737240247,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","LUPGF8","__dup_LUPGF8_1","__dup_CMJQGU_1",1,2.0443709322983,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","__dup_1W4GNT_1","1W4GNT","G8EBU9",0,14.9188929952831,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","KCBMY9","__dup_KCBMY9_1","DMI0QY",2,18.1356148799444,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","KCBMY9","__dup_KCBMY9_1","__dup_MK90CB_1",2,21.1805979200447,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","R0VAQP","__dup_R0VAQP_1","MY1AEU",0,3.90495542492375,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","__dup_D0Z114_1","D0Z114","__union_12",0,0.264433768518281,6,NA,"duplicate-individual-union"
"Real 375","c","c-arc-inside","__dup_M5DJVP_1","M5DJVP","5LLJMI",3,20.8374416518493,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_M5DJVP_1","M5DJVP","45YQV5",3,17.9207904415342,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_SH0L6S_1","SH0L6S","WUPTU8",0,16.547521714014,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_SH0L6S_1","SH0L6S","__dup_1X40V5_2",1,17.5018272217188,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","4U7JTW","__dup_4U7JTW_2","__dup_Q7F87W_1",2,2.93577023682929,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","__dup_79RXRZ_1","79RXRZ","7KWRZK",2,3.64855277830475,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","K9TMQP","__dup_K9TMQP_1","KCBMY9",2,10.4676446003284,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","K9TMQP","__dup_K9TMQP_1","SLN0TF",1,4.69597754264393,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","K9TMQP","__dup_K9TMQP_1","__union_68",1,5.12009024652006,6,NA,"individual-duplicate-union"
"Real 375","c","c-arc-inside","RYP77M","__dup_RYP77M_5","FE03JV",1,6.46460953533383,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","__dup_KCBMY9_2","KCBMY9","GBGWZD",2,7.79834946339752,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_KCBMY9_2","KCBMY9","B6IDBA",2,21.2617062518967,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_9C6NW8_2","9C6NW8","DLZL49",1,2.73860932525856,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_9C6NW8_2","9C6NW8","__dup_SLN0TF_1",1,20.7900238495152,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","EQNDAY","__dup_EQNDAY_1","5JGJDV",1,23.8621893659165,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","EQNDAY","__dup_EQNDAY_1","GBGWZD",2,23.0222409623994,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","EQNDAY","__dup_EQNDAY_1","__dup_RYP77M_1",1,22.9875400980745,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","Q00PB1","__dup_Q00PB1_2","QL6GH4",2,10.6203566432127,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","__dup_H16EC4_1","H16EC4","BT0V1U",3,17.9124661300774,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_H16EC4_1","H16EC4","__dup_Q00PB1_2",3,20.8241980084276,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","1Y8P15","__dup_1Y8P15_1","R0VAQP",1,16.4040064617162,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","1Y8P15","__dup_1Y8P15_1","DWFFZL",2,14.4435649414715,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","__dup_KUENM8_3","KUENM8","__dup_RYP77M_3",1,18.2454615308271,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_SLN0TF_3","SLN0TF","MY1AEU",0,11.8553227728688,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_SLN0TF_3","SLN0TF","__dup_CAN12C_1",2,15.3528808621125,25,NA,"duplicate-individual-duplicate"
