"fixture","class","subclass","idA","idB","idC","row","value","limit","relation","note"
"Track C","a","overlap","Y","__dup_Y_1",NA,1,0.11999999999999,50,"self-duplicate","individual-duplicate"
"Track C","b","outside-mate-span","__union_2","X","__dup_A_1",3,-1.5005,1.001,"genuine","anchor founder: TRUE"
"Track C","b","off-centre","__union_4","A","__dup_Y_1",1,-0.00049999999999996,1.001,"genuine","anchor founder: FALSE"
"Track C","d","overlap","__dup_Y_1","Y","__union_4",1,0.11999999999999,120,"self-duplicate",NA
"Real 375","a","overlap","G2DMVF","__union_59",NA,1,0,31,"unrelated","individual-union"
"Real 375","a","overlap","BH6ZQK","__dup_SLN0TF_1",NA,1,0.119999999999891,50,"unrelated","individual-duplicate"
"Real 375","a","overlap","8LKBV9","__dup_G8EBU9_1",NA,1,30,50,"mates","individual-duplicate"
"Real 375","a","overlap","__union_68","HKTQ40",NA,1,19.8200000000006,31,"unrelated","union-individual"
"Real 375","a","overlap","8P17E3","__union_63",NA,1,9.82000000000016,31,"unrelated","individual-union"
"Real 375","a","overlap","P4KR40","__union_65",NA,1,15,31,"unrelated","individual-union"
"Real 375","a","overlap","__union_64","KK1QYR",NA,1,28.9399999999996,31,"unrelated","union-individual"
"Real 375","a","overlap","__union_102","6XYG9B",NA,1,28.8800000000001,31,"unrelated","union-individual"
"Real 375","a","overlap","__dup_PQX22G_3","__union_75",NA,1,28.8800000000001,31,"unrelated","duplicate-union"
"Real 375","a","overlap","__union_75","P2VQJR",NA,1,28.8800000000001,31,"unrelated","union-individual"
"Real 375","a","overlap","__union_80","__dup_C6E1D9_1",NA,1,2.17999999999938,31,"unrelated","union-duplicate"
"Real 375","a","overlap","__dup_D8FYZV_3","__union_72",NA,1,22.3799999999992,31,"unrelated","duplicate-union"
"Real 375","a","overlap","RYP77M","__union_71",NA,1,30.0600000000004,31,"own-union","individual-union"
"Real 375","a","overlap","__union_71","WDUGSA",NA,1,30.0600000000004,31,"own-union","union-individual"
"Real 375","a","overlap","WDUGSA","__union_76",NA,1,29.8799999999992,31,"unrelated","individual-union"
"Real 375","a","overlap","__union_76","D0Z114",NA,1,30,31,"unrelated","union-individual"
"Real 375","a","overlap","D0Z114","__union_67",NA,1,0,31,"unrelated","individual-union"
"Real 375","a","overlap","__union_79","__dup_RYP77M_1",NA,1,2.23999999999978,31,"unrelated","union-duplicate"
"Real 375","a","overlap","XEE9GT","__union_77",NA,1,0.0600000000004002,31,"unrelated","individual-union"
"Real 375","a","overlap","__union_83","JB7EW2",NA,1,0.119999999999891,31,"unrelated","union-individual"
"Real 375","a","overlap","79QBRD","__union_99",NA,1,30,31,"unrelated","individual-union"
"Real 375","a","overlap","CEA455","__union_92",NA,1,29.8800000000001,31,"unrelated","individual-union"
"Real 375","a","overlap","__union_78","__dup_E2D59U_1",NA,1,17,31,"unrelated","union-duplicate"
"Real 375","a","overlap","__dup_E2D59U_1","__dup_P87V3K_1",NA,1,27,50,"unrelated","duplicate-duplicate"
"Real 375","a","overlap","__union_96","BYWXJB",NA,1,28.8800000000001,31,"unrelated","union-individual"
"Real 375","a","overlap","__union_88","__dup_CMJQGU_1",NA,1,0.119999999999891,31,"unrelated","union-duplicate"
"Real 375","a","overlap","__union_93","KNIBZ7",NA,1,28.8800000000001,31,"unrelated","union-individual"
"Real 375","a","overlap","__dup_L31S6S_4","__union_86",NA,1,28.8800000000001,31,"unrelated","duplicate-union"
"Real 375","a","overlap","__union_86","37FSQA",NA,1,28.8800000000001,31,"unrelated","union-individual"
"Real 375","a","overlap","__union_70","__dup_RYP77M_4",NA,1,17.119999999999,31,"unrelated","union-duplicate"
"Real 375","a","overlap","__union_87","__dup_RYP77M_2",NA,1,2.11999999999898,31,"unrelated","union-duplicate"
"Real 375","a","overlap","__union_100","__union_73",NA,1,2.05999999999949,12,"union-union","union-union"
"Real 375","a","overlap","__union_100","M0YNUR",NA,1,30,31,"unrelated","union-individual"
