"id","sire","dam","sex","gen","birth","exit","age","affected"
"BRI2MW",NA,NA,"F",0,"1998-12-06",NA,20.7,FALSE
"677E7M",NA,NA,"F",0,"1998-07-24",NA,21.1,TRUE
"ZZ646X",NA,NA,"F",0,"1997-12-08",NA,21.7,FALSE
"FEEN9W",NA,NA,"M",0,"1997-12-23",NA,21.7,FALSE
"83U0EX",NA,NA,"M",0,NA,NA,NA,FALSE
"6VUC6R",NA,NA,"F",0,NA,NA,NA,FALSE
"FD3BB6",NA,NA,"M",0,NA,NA,NA,FALSE
"GQUCRY",NA,NA,"F",0,NA,NA,NA,FALSE
"WS6D1B",NA,NA,"M",0,NA,NA,NA,TRUE
"1BYXWJ",NA,NA,"M",0,NA,NA,NA,TRUE
"N2C1PW",NA,NA,"F",0,NA,NA,NA,FALSE
"PH0IXL",NA,NA,"F",0,NA,NA,NA,TRUE
"8WG9U2",NA,NA,"F",0,NA,NA,NA,TRUE
"PLT00S",NA,NA,"F",0,NA,NA,NA,FALSE
"BCH8AH",NA,NA,"M",0,NA,NA,NA,FALSE
"ZLS786",NA,NA,"F",0,NA,NA,NA,FALSE
"HJ555Y",NA,NA,"F",0,NA,NA,NA,FALSE
"CMJQGU",NA,NA,"M",0,NA,NA,NA,FALSE
"9R28KQ",NA,NA,"F",0,NA,NA,NA,FALSE
"GYQNV5",NA,NA,"F",0,"1982-04-21",NA,37.3,FALSE
"MND3AC",NA,NA,"F",0,"1982-11-29",NA,36.7,NA
"RXPJPP",NA,NA,"F",0,"1982-04-28",NA,37.3,TRUE
"HDJ52R",NA,NA,"F",0,"1982-01-10",NA,37.6,TRUE
"7KWRZK",NA,NA,"F",0,"1980-03-26",NA,39.4,TRUE
"SQ908D",NA,NA,"F",0,"1980-03-19",NA,39.4,FALSE
"P87V3K",NA,NA,"F",0,"1981-04-24",NA,38.3,TRUE
"C3IFT0",NA,NA,"F",0,"1980-02-23",NA,39.5,TRUE
"RKBTHH",NA,NA,"F",0,"1982-06-02",NA,37.2,FALSE
"EZ97J5",NA,NA,"F",0,NA,NA,NA,FALSE
"9A1LWF",NA,NA,"F",0,"1982-12-12",NA,36.7,NA
