"id","sire","dam","sex","gen","birth","exit","age","name"
"BRI2MW",NA,NA,"F",0,"1998-12-06",NA,20.7,"Grand-Champion-Xerxes-Constantinopolous-The-Magnificent-III"
"677E7M",NA,NA,"F",0,"1998-07-24",NA,21.1,"Clover"
"ZZ646X",NA,NA,"F",0,"1997-12-08",NA,21.7,""
"FEEN9W",NA,NA,"M",0,"1997-12-23",NA,21.7,NA
"83U0EX",NA,NA,"M",0,NA,NA,NA,NA
"6VUC6R",NA,NA,"F",0,NA,NA,NA,"Kepler"
"FD3BB6",NA,NA,"M",0,NA,NA,NA,"Comet"
"GQUCRY",NA,NA,"F",0,NA,NA,NA,NA
"WS6D1B",NA,NA,"M",0,NA,NA,NA,NA
"1BYXWJ",NA,NA,"M",0,NA,NA,NA,"Bandit"
"N2C1PW",NA,NA,"F",0,NA,NA,NA,"Dusty"
"PH0IXL",NA,NA,"F",0,NA,NA,NA,"Willow"
"8WG9U2",NA,NA,"F",0,NA,NA,NA,"Ginger"
"PLT00S",NA,NA,"F",0,NA,NA,NA,"Dusty"
"BCH8AH",NA,NA,"M",0,NA,NA,NA,NA
"ZLS786",NA,NA,"F",0,NA,NA,NA,NA
"HJ555Y",NA,NA,"F",0,NA,NA,NA,"Freckles"
"CMJQGU",NA,NA,"M",0,NA,NA,NA,"Quill"
"9R28KQ",NA,NA,"F",0,NA,NA,NA,"Clover"
"GYQNV5",NA,NA,"F",0,"1982-04-21",NA,37.3,""
"MND3AC",NA,NA,"F",0,"1982-11-29",NA,36.7,"Dusty"
"RXPJPP",NA,NA,"F",0,"1982-04-28",NA,37.3,NA
"HDJ52R",NA,NA,"F",0,"1982-01-10",NA,37.6,NA
"7KWRZK",NA,NA,"F",0,"1980-03-26",NA,39.4,"Ranger"
"SQ908D",NA,NA,"F",0,"1980-03-19",NA,39.4,"Apollo"
"P87V3K",NA,NA,"F",0,"1981-04-24",NA,38.3,"Clover"
"C3IFT0",NA,NA,"F",0,"1980-02-23",NA,39.5,""
"RKBTHH",NA,NA,"F",0,"1982-06-02",NA,37.2,"Ginger"
"EZ97J5",NA,NA,"F",0,NA,NA,NA,""
"9A1LWF",NA,NA,"F",0,"1982-12-12",NA,36.7,NA
"Y7IUMX",NA,NA,"F",0,NA,NA,NA,"Willow"
"BZ8K78",NA,NA,"M",0,NA,NA,NA,"Onyx"
"4WWCPB",NA,NA,"F",0,"1982-07-21",NA,37.1,"Luna"
"Q8MRCZ",NA,NA,"F",0,NA,NA,NA,"Bandit"
"8DKELJ",NA,NA,"F",0,NA,NA,NA,"Apollo"
"LVS6QV",NA,NA,"F",0,"1982-06-19",NA,37.2,"Maple"
"8P17E3",NA,NA,"F",0,"1982-06-12",NA,37.2,""
"8933XB",NA,NA,"M",0,NA,NA,NA,NA
"IYYFP6",NA,NA,"F",0,NA,NA,NA,"Ranger"
"G8EBU9",NA,NA,"F",0,"1982-06-19",NA,37.2,"Nutmeg"
"C1BAND",NA,NA,"F",0,NA,NA,NA,"Kepler"
"E2D59U",NA,NA,"F",0,"1982-04-30",NA,37.3,"Ember"
"LVP52A",NA,NA,"F",0,NA,NA,NA,"Dusty"
"KWKJXQ",NA,NA,"F",0,"1982-06-05",NA,37.2,NA
"CEA455",NA,NA,"F",0,"1982-06-29",NA,37.2,"Ember"
"8THU85",NA,NA,"F",0,"1982-07-11",NA,37.1,"Apollo"
"1ZERVB",NA,NA,"F",0,NA,NA,NA,NA
"MTSHHY",NA,NA,"F",0,NA,NA,NA,NA
"4EEKV7",NA,NA,"F",0,NA,NA,NA,"Marbles"
"9C6NW8",NA,NA,"M",0,NA,NA,NA,NA
"HA7MFD",NA,NA,"F",0,NA,NA,NA,""
"QL6GH4",NA,NA,"M",0,NA,NA,NA,"Clover"
"RF8KMZ",NA,NA,"M",0,NA,NA,NA,"Kepler"
"B2U6J7",NA,NA,"M",0,NA,NA,NA,"Dusty"
"WUPTU8",NA,NA,"F",0,NA,NA,NA,"Juniper"
"BM40IX",NA,NA,"M",0,NA,NA,NA,"Juniper"
"PQX22G",NA,NA,"M",0,NA,NA,NA,"Ember"
"A3A34I",NA,NA,"F",0,NA,NA,NA,""
"WDUGSA",NA,NA,"F",0,"1988-02-15",NA,31.5,"Juniper"
"S0022Z",NA,NA,"F",0,"1988-05-26",NA,31.2,NA
"DPUHBA",NA,NA,"F",0,NA,NA,NA,""
"L2I39Y",NA,NA,"F",0,NA,NA,NA,""
"Y1XZEW",NA,NA,"M",0,NA,NA,NA,"Willow"
"NPYENA",NA,NA,"M",0,NA,NA,NA,"Onyx"
"KXU1ZH",NA,NA,"M",0,NA,NA,NA,"Ginger"
"KCBMY9",NA,NA,"M",0,NA,NA,NA,"Kepler"
"0FKJ81",NA,NA,"F",0,NA,NA,NA,"Hazel"
"KK1QYR",NA,NA,"M",0,NA,NA,NA,"Luna"
"5A6DFT",NA,NA,"M",0,NA,NA,NA,NA
"HKTQ40",NA,NA,"M",0,"1989-06-10",NA,30.2,"Sage"
"I8ABQE",NA,NA,"F",0,NA,NA,NA,""
