"locus","chrom","pos","cM"
"SNP0001","1",1495038,NA
"SNP0002","1",1616452,NA
"SNP0003","1",1751169,NA
"SNP0004","1",2137372,NA
"SNP0005","1",2451097,NA
"SNP0006","1",2585615,NA
"SNP0007","1",2655230,NA
"SNP0008","1",2949075,NA
"SNP0009","1",3008425,NA
"SNP0010","1",3324867,NA
"SNP0011","1",3448742,NA
"SNP0012","1",3581411,NA
"SNP0013","1",3927868,NA
"SNP0014","1",4256055,NA
"SNP0015","1",4371258,NA
"SNP0016","1",4413623,NA
"SNP0017","1",4544300,NA
"SNP0018","1",4787382,NA
"SNP0019","1",5096433,NA
"SNP0020","1",5578900,NA
"SNP0021","1",5715955,NA
"SNP0022","1",5794314,NA
"SNP0023","1",6122462,NA
"SNP0024","1",6332183,NA
"SNP0025","1",6476278,NA
"SNP0026","1",6521753,NA
"SNP0027","1",6857308,NA
"SNP0028","1",7158203,NA
"SNP0029","1",7276641,NA
"SNP0030","1",7354911,NA
"SNP0031","1",7798334,NA
"SNP0032","1",7859201,NA
"SNP0033","1",7897623,NA
"SNP0034","1",8159121,NA
"SNP0035","1",8470097,NA
"SNP0036","1",8728790,NA
"SNP0037","1",9186370,NA
"SNP0038","1",9492633,NA
"SNP0039","1",9815342,NA
"SNP0040","1",10205857,NA
"SNP0041","1",10602976,NA
"SNP0042","1",10813153,NA
"SNP0043","1",10961486,NA
"SNP0044","1",11319520,NA
"SNP0045","1",11742864,NA
"SNP0046","1",11881054,NA
"SNP0047","1",12093413,NA
"SNP0048","1",12205055,NA
"SNP0049","1",12243127,NA
"SNP0050","1",12641716,NA
"SNP0051","2",1348489,NA
"SNP0052","2",1449537,NA
"SNP0053","2",1463655,NA
"SNP0054","2",1799064,NA
"SNP0055","2",2097394,NA
"SNP0056","2",2422995,NA
"SNP0057","2",2641678,NA
"SNP0058","2",2657368,NA
"SNP0059","2",3132335,NA
"SNP0060","2",3393260,NA
"SNP0061","2",3824862,NA
"SNP0062","2",3998976,NA
"SNP0063","2",4483599,NA
"SNP0064","2",4714819,NA
"SNP0065","2",4751405,NA
"SNP0066","2",4995832,NA
"SNP0067","2",5027508,NA
"SNP0068","2",5185249,NA
"SNP0069","2",5485186,NA
"SNP0070","2",5809596,NA
"SNP0071","2",5869243,NA
"SNP0072","2",6235073,NA
"SNP0073","2",6572354,NA
"SNP0074","2",6655079,NA
"SNP0075","2",6754066,NA
"SNP0076","2",7089947,NA
"SNP0077","2",7267741,NA
"SNP0078","2",7610630,NA
"SNP0079","2",7625661,NA
"SNP0080","2",7934945,NA
"SNP0081","2",7990423,NA
"SNP0082","2",8284398,NA
"SNP0083","2",8757309,NA
"SNP0084","2",8812976,NA
"SNP0085","2",9199117,NA
"SNP0086","2",9545542,NA
"SNP0087","2",9951649,NA
"SNP0088","2",9976976,NA
"SNP0089","2",10184311,NA
"SNP0090","2",10311099,NA
"SNP0091","2",10397570,NA
"SNP0092","2",10864737,NA
"SNP0093","2",10970706,NA
"SNP0094","2",11162619,NA
"SNP0095","2",11331971,NA
"SNP0096","2",11709354,NA
"SNP0097","2",11836926,NA
"SNP0098","2",12292628,NA
"SNP0099","2",12516939,NA
"SNP0100","2",12793726,NA
"SNP0101","3",1122829,NA
"SNP0102","3",1492567,NA
"SNP0103","3",1735653,NA
"SNP0104","3",2215974,NA
"SNP0105","3",2304290,NA
"SNP0106","3",2478934,NA
"SNP0107","3",2615442,NA
"SNP0108","3",2916789,NA
"SNP0109","3",3372714,NA
"SNP0110","3",3453355,NA
"SNP0111","3",3652731,NA
"SNP0112","3",3713530,NA
"SNP0113","3",4013751,NA
"SNP0114","3",4268004,NA
"SNP0115","3",4433039,NA
"SNP0116","3",4764383,NA
"SNP0117","3",5109221,NA
"SNP0118","3",5348152,NA
"SNP0119","3",5775544,NA
"SNP0120","3",5938437,NA
"SNP0121","3",6165354,NA
"SNP0122","3",6427080,NA
"SNP0123","3",6790595,NA
"SNP0124","3",7285807,NA
"SNP0125","3",7748788,NA
"SNP0126","3",8048364,NA
"SNP0127","3",8529327,NA
"SNP0128","3",8932629,NA
"SNP0129","3",9317096,NA
"SNP0130","3",9648078,NA
"SNP0131","3",10079159,NA
"SNP0132","3",10256296,NA
"SNP0133","3",10414737,NA
"SNP0134","3",10699432,NA
"SNP0135","3",11188960,NA
"SNP0136","3",11207727,NA
"SNP0137","3",11374022,NA
"SNP0138","3",11695888,NA
"SNP0139","3",11868188,NA
"SNP0140","3",12123116,NA
"SNP0141","3",12241136,NA
"SNP0142","3",12487735,NA
"SNP0143","3",12756982,NA
"SNP0144","3",12876665,NA
"SNP0145","3",13283219,NA
"SNP0146","3",13545231,NA
"SNP0147","3",13668009,NA
"SNP0148","3",13915403,NA
"SNP0149","3",14028451,NA
"SNP0150","3",14474059,NA
"SNP0151","4",1377413,NA
"SNP0152","4",1573252,NA
"SNP0153","4",1773997,NA
"SNP0154","4",1853806,NA
"SNP0155","4",2034673,NA
"SNP0156","4",2375479,NA
"SNP0157","4",2525078,NA
"SNP0158","4",2688763,NA
"SNP0159","4",3148021,NA
"SNP0160","4",3529864,NA
"SNP0161","4",3878764,NA
"SNP0162","4",4226833,NA
"SNP0163","4",4288394,NA
"SNP0164","4",4548162,NA
"SNP0165","4",5021052,NA
"SNP0166","4",5323999,NA
"SNP0167","4",5377205,NA
"SNP0168","4",5565931,NA
"SNP0169","4",5811079,NA
"SNP0170","4",6107423,NA
"SNP0171","4",6220748,NA
"SNP0172","4",6694062,NA
"SNP0173","4",6997411,NA
"SNP0174","4",7188372,NA
"SNP0175","4",7524883,NA
"SNP0176","4",7896717,NA
"SNP0177","4",7925905,NA
"SNP0178","4",8170759,NA
"SNP0179","4",8279045,NA
"SNP0180","4",8653074,NA
"SNP0181","4",8914294,NA
"SNP0182","4",9307723,NA
"SNP0183","4",9803010,NA
"SNP0184","4",9820451,NA
"SNP0185","4",9900289,NA
"SNP0186","4",10089805,NA
"SNP0187","4",10295442,NA
"SNP0188","4",10663319,NA
"SNP0189","4",10887741,NA
"SNP0190","4",11251621,NA
"SNP0191","4",11561059,NA
"SNP0192","4",12003913,NA
"SNP0193","4",12348164,NA
"SNP0194","4",12595737,NA
"SNP0195","4",12921444,NA
"SNP0196","4",13185819,NA
"SNP0197","4",13222915,NA
"SNP0198","4",13720028,NA
"SNP0199","4",13789417,NA
"SNP0200","4",13807052,NA
"SNP0201","5",1455844,NA
"SNP0202","5",1769176,NA
"SNP0203","5",1866493,NA
"SNP0204","5",2122874,NA
"SNP0205","5",2574988,NA
"SNP0206","5",2783712,NA
"SNP0207","5",3060249,NA
"SNP0208","5",3312166,NA
"SNP0209","5",3340447,NA
"SNP0210","5",3765925,NA
"SNP0211","5",4143136,NA
"SNP0212","5",4303162,NA
"SNP0213","5",4654162,NA
"SNP0214","5",4749059,NA
"SNP0215","5",5161930,NA
"SNP0216","5",5654245,NA
"SNP0217","5",5889218,NA
"SNP0218","5",6312526,NA
"SNP0219","5",6783911,NA
"SNP0220","5",6888374,NA
"SNP0221","5",6951451,NA
"SNP0222","5",7212633,NA
"SNP0223","5",7592988,NA
"SNP0224","5",7849623,NA
"SNP0225","5",8201007,NA
"SNP0226","5",8410542,NA
"SNP0227","5",8782791,NA
"SNP0228","5",8934474,NA
"SNP0229","5",9368267,NA
"SNP0230","5",9708189,NA
"SNP0231","5",9814989,NA
"SNP0232","5",10059457,NA
"SNP0233","5",10487030,NA
"SNP0234","5",10558384,NA
"SNP0235","5",11034205,NA
"SNP0236","5",11045948,NA
"SNP0237","5",11378291,NA
"SNP0238","5",11710065,NA
"SNP0239","5",12040301,NA
"SNP0240","5",12082620,NA
"SNP0241","5",12204233,NA
"SNP0242","5",12513291,NA
"SNP0243","5",12698797,NA
"SNP0244","5",13180261,NA
"SNP0245","5",13619857,NA
"SNP0246","5",13803036,NA
"SNP0247","5",14056561,NA
"SNP0248","5",14297931,NA
"SNP0249","5",14647703,NA
"SNP0250","5",14705206,NA
"SNP0251","6",1097885,NA
"SNP0252","6",1165162,NA
"SNP0253","6",1269251,NA
"SNP0254","6",1753029,NA
"SNP0255","6",2089811,NA
"SNP0256","6",2421286,NA
"SNP0257","6",2685806,NA
"SNP0258","6",2957115,NA
"SNP0259","6",3318788,NA
"SNP0260","6",3802071,NA
"SNP0261","6",4083201,NA
"SNP0262","6",4264254,NA
"SNP0263","6",4706918,NA
"SNP0264","6",4832896,NA
"SNP0265","6",4988517,NA
"SNP0266","6",5447136,NA
"SNP0267","6",5465705,NA
"SNP0268","6",5652842,NA
"SNP0269","6",5865378,NA
"SNP0270","6",5941332,NA
"SNP0271","6",6122103,NA
"SNP0272","6",6417789,NA
"SNP0273","6",6605792,NA
"SNP0274","6",6841810,NA
"SNP0275","6",6900484,NA
"SNP0276","6",7341233,NA
"SNP0277","6",7562252,NA
"SNP0278","6",7722697,NA
"SNP0279","6",7829740,NA
"SNP0280","6",7905609,NA
"SNP0281","6",8374013,NA
"SNP0282","6",8518726,NA
"SNP0283","6",8740076,NA
"SNP0284","6",8793979,NA
"SNP0285","6",9017766,NA
"SNP0286","6",9454094,NA
"SNP0287","6",9600186,NA
"SNP0288","6",9935992,NA
"SNP0289","6",10143519,NA
"SNP0290","6",10323244,NA
"SNP0291","6",10349308,NA
"SNP0292","6",10433387,NA
"SNP0293","6",10444561,NA
"SNP0294","6",10740084,NA
"SNP0295","6",11100638,NA
"SNP0296","6",11299230,NA
"SNP0297","6",11549169,NA
"SNP0298","6",11716743,NA
"SNP0299","6",12015122,NA
"SNP0300","6",12325438,NA
"SNP0301","7",1275524,NA
"SNP0302","7",1700536,NA
"SNP0303","7",2121798,NA
"SNP0304","7",2157719,NA
"SNP0305","7",2439436,NA
"SNP0306","7",2738438,NA
"SNP0307","7",2777396,NA
"SNP0308","7",3057503,NA
"SNP0309","7",3182212,NA
"SNP0310","7",3565876,NA
"SNP0311","7",3903452,NA
"SNP0312","7",4074491,NA
"SNP0313","7",4367882,NA
"SNP0314","7",4673041,NA
"SNP0315","7",4940396,NA
"SNP0316","7",5153735,NA
"SNP0317","7",5408881,NA
"SNP0318","7",5511660,NA
"SNP0319","7",5884905,NA
"SNP0320","7",6029404,NA
"SNP0321","7",6408387,NA
"SNP0322","7",6868929,NA
"SNP0323","7",7072184,NA
"SNP0324","7",7462248,NA
"SNP0325","7",7780309,NA
"SNP0326","7",8224153,NA
"SNP0327","7",8717585,NA
"SNP0328","7",8787572,NA
"SNP0329","7",9023928,NA
"SNP0330","7",9295520,NA
"SNP0331","7",9550722,NA
"SNP0332","7",9717022,NA
"SNP0333","7",10182495,NA
"SNP0334","7",10357119,NA
"SNP0335","7",10704920,NA
"SNP0336","7",10773256,NA
"SNP0337","7",11268538,NA
"SNP0338","7",11492095,NA
"SNP0339","7",11711169,NA
"SNP0340","7",11944947,NA
"SNP0341","7",12181867,NA
"SNP0342","7",12365078,NA
"SNP0343","7",12840635,NA
"SNP0344","7",13070125,NA
"SNP0345","7",13557750,NA
"SNP0346","7",13779364,NA
"SNP0347","7",14006834,NA
"SNP0348","7",14065566,NA
"SNP0349","7",14193272,NA
"SNP0350","7",14296037,NA
"SNP0351","8",1198051,NA
"SNP0352","8",1653085,NA
"SNP0353","8",2062420,NA
"SNP0354","8",2437842,NA
"SNP0355","8",2750916,NA
"SNP0356","8",2854291,NA
"SNP0357","8",2888675,NA
"SNP0358","8",2909735,NA
"SNP0359","8",2929335,NA
"SNP0360","8",3261684,NA
"SNP0361","8",3683276,NA
"SNP0362","8",3882418,NA
"SNP0363","8",4380917,NA
"SNP0364","8",4603373,NA
"SNP0365","8",4898052,NA
"SNP0366","8",5006512,NA
"SNP0367","8",5340118,NA
"SNP0368","8",5589901,NA
"SNP0369","8",6013570,NA
"SNP0370","8",6282687,NA
"SNP0371","8",6432539,NA
"SNP0372","8",6536518,NA
"SNP0373","8",6554565,NA
"SNP0374","8",6826654,NA
"SNP0375","8",7044950,NA
"SNP0376","8",7195475,NA
"SNP0377","8",7407088,NA
"SNP0378","8",7723354,NA
"SNP0379","8",7746314,NA
"SNP0380","8",8157679,NA
"SNP0381","8",8644119,NA
"SNP0382","8",8677875,NA
"SNP0383","8",9127378,NA
"SNP0384","8",9351414,NA
"SNP0385","8",9521575,NA
"SNP0386","8",9873067,NA
"SNP0387","8",10031961,NA
"SNP0388","8",10137162,NA
"SNP0389","8",10558136,NA
"SNP0390","8",11040827,NA
"SNP0391","8",11179142,NA
"SNP0392","8",11539487,NA
"SNP0393","8",12009887,NA
"SNP0394","8",12422723,NA
"SNP0395","8",12556708,NA
"SNP0396","8",12986309,NA
"SNP0397","8",13481777,NA
"SNP0398","8",13596882,NA
"SNP0399","8",13727369,NA
"SNP0400","8",13931124,NA
"SNP0401","9",1173586,NA
"SNP0402","9",1383463,NA
"SNP0403","9",1877900,NA
"SNP0404","9",1950485,NA
"SNP0405","9",1999193,NA
"SNP0406","9",2135532,NA
"SNP0407","9",2447219,NA
"SNP0408","9",2712876,NA
"SNP0409","9",3200443,NA
"SNP0410","9",3403975,NA
"SNP0411","9",3706179,NA
"SNP0412","9",4002927,NA
"SNP0413","9",4492704,NA
"SNP0414","9",4967186,NA
"SNP0415","9",5010192,NA
"SNP0416","9",5091276,NA
"SNP0417","9",5583932,NA
"SNP0418","9",5829411,NA
"SNP0419","9",6192086,NA
"SNP0420","9",6269236,NA
"SNP0421","9",6564486,NA
"SNP0422","9",6786744,NA
"SNP0423","9",6959303,NA
"SNP0424","9",7061651,NA
"SNP0425","9",7231540,NA
"SNP0426","9",7488729,NA
"SNP0427","9",7567899,NA
"SNP0428","9",7639497,NA
"SNP0429","9",7978725,NA
"SNP0430","9",8177739,NA
"SNP0431","9",8309661,NA
"SNP0432","9",8392135,NA
"SNP0433","9",8546068,NA
"SNP0434","9",8742809,NA
"SNP0435","9",8961521,NA
"SNP0436","9",9110077,NA
"SNP0437","9",9338621,NA
"SNP0438","9",9785188,NA
"SNP0439","9",10246776,NA
"SNP0440","9",10387421,NA
"SNP0441","9",10684918,NA
"SNP0442","9",10697939,NA
"SNP0443","9",10787140,NA
"SNP0444","9",11123541,NA
"SNP0445","9",11508175,NA
"SNP0446","9",11551756,NA
"SNP0447","9",12003984,NA
"SNP0448","9",12188730,NA
"SNP0449","9",12543310,NA
"SNP0450","9",12613956,NA
"SNP0451","10",1179828,NA
"SNP0452","10",1629040,NA
"SNP0453","10",2042880,NA
"SNP0454","10",2073140,NA
"SNP0455","10",2382874,NA
"SNP0456","10",2666764,NA
"SNP0457","10",2697698,NA
"SNP0458","10",3062769,NA
"SNP0459","10",3121610,NA
"SNP0460","10",3595908,NA
"SNP0461","10",3639848,NA
"SNP0462","10",4134627,NA
"SNP0463","10",4211265,NA
"SNP0464","10",4241545,NA
"SNP0465","10",4697196,NA
"SNP0466","10",4797443,NA
"SNP0467","10",5198202,NA
"SNP0468","10",5474635,NA
"SNP0469","10",5756359,NA
"SNP0470","10",5987905,NA
"SNP0471","10",6455529,NA
"SNP0472","10",6523398,NA
"SNP0473","10",6848358,NA
"SNP0474","10",7148264,NA
"SNP0475","10",7248721,NA
"SNP0476","10",7498698,NA
"SNP0477","10",7673696,NA
"SNP0478","10",7833791,NA
"SNP0479","10",8008916,NA
"SNP0480","10",8244139,NA
"SNP0481","10",8460793,NA
"SNP0482","10",8639706,NA
"SNP0483","10",8999275,NA
"SNP0484","10",9395087,NA
"SNP0485","10",9415964,NA
"SNP0486","10",9897449,NA
"SNP0487","10",10383907,NA
"SNP0488","10",10619668,NA
"SNP0489","10",10937188,NA
"SNP0490","10",11421990,NA
"SNP0491","10",11895575,NA
"SNP0492","10",12380980,NA
"SNP0493","10",12661465,NA
"SNP0494","10",12948117,NA
"SNP0495","10",13368550,NA
"SNP0496","10",13534213,NA
"SNP0497","10",13597786,NA
"SNP0498","10",13616348,NA
"SNP0499","10",14035007,NA
"SNP0500","10",14330360,NA
"SNP0501","11",1381017,NA
"SNP0502","11",1854737,NA
"SNP0503","11",1977459,NA
"SNP0504","11",2283908,NA
"SNP0505","11",2548274,NA
"SNP0506","11",2633878,NA
"SNP0507","11",2771107,NA
"SNP0508","11",3002675,NA
"SNP0509","11",3068847,NA
"SNP0510","11",3254855,NA
"SNP0511","11",3350476,NA
"SNP0512","11",3737442,NA
"SNP0513","11",3957501,NA
"SNP0514","11",4413905,NA
"SNP0515","11",4656835,NA
"SNP0516","11",4848695,NA
"SNP0517","11",5076716,NA
"SNP0518","11",5129919,NA
"SNP0519","11",5562857,NA
"SNP0520","11",5822901,NA
"SNP0521","11",6065511,NA
"SNP0522","11",6420678,NA
"SNP0523","11",6831257,NA
"SNP0524","11",7301357,NA
"SNP0525","11",7734557,NA
"SNP0526","11",8185856,NA
"SNP0527","11",8444546,NA
"SNP0528","11",8480332,NA
"SNP0529","11",8783054,NA
"SNP0530","11",8815196,NA
"SNP0531","11",9061025,NA
"SNP0532","11",9534120,NA
"SNP0533","11",9853962,NA
"SNP0534","11",10325193,NA
"SNP0535","11",10413215,NA
"SNP0536","11",10600105,NA
"SNP0537","11",10858740,NA
"SNP0538","11",11355267,NA
"SNP0539","11",11378329,NA
"SNP0540","11",11425193,NA
"SNP0541","11",11444298,NA
"SNP0542","11",11505664,NA
"SNP0543","11",11590918,NA
"SNP0544","11",12083593,NA
"SNP0545","11",12460977,NA
"SNP0546","11",12912024,NA
"SNP0547","11",13299156,NA
"SNP0548","11",13501643,NA
"SNP0549","11",13899008,NA
"SNP0550","11",14009338,NA
"SNP0551","12",1497657,NA
